vol_number,vol_name,vol_type_primary,activity_evidence,last_known_eruption,elevation_m,lat,lon
283110,Asamayama,Complex,Eruption Observed,2019 CE,2568,36.406,138.523
283120,Kusatsu-Shiranesan,Stratovolcano(es),Eruption Observed,2018 CE,2165,36.618,138.528
283122,Harunasan,Stratovolcano,Eruption Dated,550 CE,1449,36.477,138.851
283131,Hiuchigatake,Stratovolcano,Eruption Observed,1544 CE,2356,36.955,139.285
283140,Nikko-Shiranesan,Shield,Eruption Observed,1952 CE,2578,36.799,139.376
283150,Nasudake,Stratovolcano(es),Eruption Observed,1963 CE,1915,37.125,139.963
283160,Bandaisan,Stratovolcano,Eruption Observed,1888 CE,1816,37.601,140.072
283170,Adatarayama,Stratovolcano(es),Eruption Observed,1996 CE,1728,37.647,140.281
283180,Azumayama,Stratovolcano(es),Eruption Observed,1977 CE,1949,37.735,140.244
283190,Zaozan [Zaosan],Complex,Eruption Observed,1940 CE,1841,38.144,140.44
283200,Naruko,Caldera,Eruption Observed,837 CE,470,38.729,140.734
283210,Kurikomayama,Stratovolcano,Eruption Observed,1950 CE,1627,38.961,140.788
283220,Chokaisan,Stratovolcano(es),Eruption Observed,1974 CE,2236,39.099,140.049
283230,Akita-Komagatake,Stratovolcano(es),Eruption Observed,1971 CE,1637,39.761,140.799
283240,Iwatesan,Complex,Eruption Observed,1919 CE,2038,39.853,141.001
283260,Akita-Yakeyama,Stratovolcano,Eruption Observed,1997 CE,1366,39.964,140.757
283270,Iwakisan,Stratovolcano,Eruption Observed,1863 CE,1625,40.656,140.303
283271,Towada,Caldera,Eruption Observed,915 CE,1011,40.51,140.88
283280,Hakkodasan,Stratovolcano(es),Eruption Dated,1550 CE,1585,40.659,140.877
283290,Osorezan,Stratovolcano,Eruption Observed,1787 CE,878,41.279,141.12
284010,Izu-Oshima,Stratovolcano,Eruption Observed,1990 CE,758,34.724,139.394
284020,Niijima,Lava dome(s),Eruption Observed,886 CE,432,34.397,139.27
284030,Kozushima,Lava dome(s),Eruption Observed,838 CE,572,34.219,139.153
284040,Miyakejima,Stratovolcano,Eruption Observed,2010 CE,775,34.094,139.526
284050,Hachijojima,Stratovolcano(es),Eruption Observed,1606 CE,854,33.137,139.766
284060,Aogashima,Stratovolcano,Eruption Observed,1785 CE,423,32.458,139.759
284070,Myojinsho,Submarine,Eruption Observed,1970 CE,11,31.888,139.918
284080,Sumisujima,Submarine,Eruption Observed,1916 CE,136,31.44,140.051
284090,Izu-Torishima,Stratovolcano,Eruption Observed,2002 CE,394,30.484,140.303
284096,Nishinoshima,Caldera,Eruption Observed,2020 CE,25,27.247,140.874
284100,Kaitoku Seamount,Submarine,Eruption Observed,1984 CE,-95,26.127,141.102
284110,Kita-Ioto,Stratovolcano,Eruption Observed,1945 CE,792,25.424,141.284
284120,Ioto,Caldera,Eruption Observed,2012 CE,169,24.751,141.289
284121,Kita-Fukutokutai,Submarine,Eruption Observed,1954 CE,-73,24.417,141.417
284130,Fukutoku-Oka-no-Ba,Submarine,Eruption Observed,2010 CE,-29,24.285,141.481
284131,Minami-Hiyoshi,Submarine,Eruption Observed,1975 CE,-107,23.5,141.935
284133,Fukujin,Submarine,Eruption Observed,1974 CE,-217,21.93,143.47
284134,Kasuga 1,Submarine,Eruption Observed,1959 CE,-598,21.765,143.71
284140,Farallon de Pajaros,Stratovolcano,Eruption Observed,1967 CE,337,20.546,144.893
284141,Ahyi,Submarine,Eruption Dated,2014 CE,-75,20.42,145.03
284142,Supply Reef,Submarine,Eruption Dated,1989 CE,-8,20.13,145.1
284150,Asuncion,Stratovolcano,Eruption Observed,1906 CE,857,19.671,145.406
284160,Agrigan,Stratovolcano,Eruption Observed,1917 CE,965,18.77,145.67
284170,Pagan,Stratovolcano(es),Eruption Observed,2012 CE,570,18.13,145.8
284180,Alamagan,Stratovolcano,Eruption Dated,870 CE,744,17.6,145.83
284190,Guguan,Stratovolcano,Eruption Observed,1883 CE,287,17.307,145.845
284193,South Sarigan Seamount,Submarine,Eruption Observed,2010 CE,-184,16.58,145.78
284200,Anatahan,Stratovolcano,Eruption Observed,2008 CE,790,16.35,145.67
284202,Ruby,Submarine,Eruption Observed,1995 CE,-230,15.62,145.57
284211,NW Rota-1,Submarine,Eruption Observed,2010 CE,-517,14.601,144.775
284305,Mariana Back-Arc Segment at 15.5°N,Submarine,Eruption Dated,2015 CE,-4100,15.406,144.506
285010,Oshima-Oshima,Stratovolcano,Eruption Observed,1790 CE,732,41.51,139.367
285011,Esan,Lava dome(s),Eruption Observed,1874 CE,618,41.805,141.166
285020,Hokkaido-Komagatake,Stratovolcano,Eruption Observed,2000 CE,1131,42.063,140.677
285030,Toya,Stratovolcano,Eruption Observed,2001 CE,733,42.544,140.839
285034,Kuttara,Stratovolcano(es),Eruption Dated,1820 CE,549,42.491,141.16
285040,Shikotsu,Caldera,Eruption Observed,1979 CE,1320,42.688,141.38
285050,Tokachidake,Stratovolcano(es),Eruption Observed,2004 CE,2077,43.418,142.686
285060,Taisetsuzan,Stratovolcano(es),Eruption Dated,1739 CE,2291,43.664,142.854
285061,Maruyama,Stratovolcano(es),Eruption Observed,1898 CE,2013,43.418,143.031
285070,Akan,Caldera,Eruption Observed,2008 CE,1499,43.384,144.013
285080,Kussharo,Caldera,Eruption Dated,1320 CE,574,43.615,144.427
285081,Mashu,Caldera,Eruption Dated,1080 CE,857,43.572,144.561
285082,Rausudake,Stratovolcano,Eruption Dated,1800 CE,1660,44.076,145.122
285083,Tenchozan,Crater rows,Eruption Dated,Unknown,1046,44.044,145.086
285090,Shiretoko-Iozan,Stratovolcano,Eruption Observed,1936 CE,1562,44.133,145.161
290010,Tomariyama [Golovnin],Caldera,Eruption Observed,1848 CE,535,43.844,145.504
290020,Raususan [Mendeleev],Stratovolcano,Eruption Observed,1880 CE,882,43.979,145.733
290030,Chachadake [Tiatia],Stratovolcano,Eruption Observed,1981 CE,1822,44.353,146.252
290050,Etorofu-Atosanupuri [Atosanupuri],Stratovolcano,Eruption Observed,1932 CE,1206,44.808,147.131
290070,Etorofu-Yakeyama [Grozny Group],Complex(es),Eruption Observed,2013 CE,1158,45.012,147.871
290080,Sashiusudake [Baransky],Stratovolcano,Eruption Observed,1951 CE,1125,45.1,148.019
290090,Chirippusan [Chirip],Stratovolcano(es),Eruption Observed,1860 CE,1587,45.338,147.92
290100,Moyorodake [Medvezhia],Stratovolcano,Eruption Observed,1999 CE,1124,45.389,148.838
290120,Kolokol Group,Stratovolcano,Eruption Observed,1973 CE,1328,46.042,150.083
290150,Chirpoi,Caldera,Eruption Observed,2016 CE,742,46.532,150.871
290160,Unnamed,Submarine,Eruption Dated,1972 CE,-502,46.47,151.28
290161,Milna,Stratovolcano,Eruption Observed,1914 CE,1504,46.815,151.786
290180,Zavaritzki Caldera,Caldera,Eruption Observed,1957 CE,624,46.925,151.95
290190,Prevo Peak,Stratovolcano,Eruption Observed,1825 CE,1360,47.02,152.12
290200,Ketoi,Stratovolcano,Eruption Observed,1960 CE,1172,47.35,152.475
290210,Ushishur,Caldera,Eruption Observed,1884 CE,401,47.52,152.8
290220,Rasshua,Stratovolcano,Eruption Observed,1957 CE,956,47.77,153.02
290240,Sarychev Peak,Stratovolcano,Eruption Observed,2021 CE,1496,48.092,153.2
290250,Raikoke,Stratovolcano,Eruption Observed,2019 CE,551,48.292,153.25
290260,Chirinkotan,Stratovolcano,Eruption Observed,2017 CE,724,48.98,153.48
290270,Ekarma,Stratovolcano,Eruption Observed,2010 CE,1170,48.958,153.93
290290,Sinarka,Stratovolcano,Eruption Observed,1878 CE,911,48.873,154.182
290300,Kharimkotan,Stratovolcano,Eruption Observed,1933 CE,1145,49.12,154.508
290310,Tao-Rusyr Caldera,Stratovolcano,Eruption Observed,1952 CE,1325,49.35,154.7
290320,Nemo Peak,Caldera,Eruption Observed,1938 CE,1018,49.57,154.808
290340,Fuss Peak,Stratovolcano,Eruption Observed,1854 CE,1742,50.267,155.246
290350,Karpinsky Group,Cone(s),Eruption Observed,1952 CE,1326,50.148,155.373
290360,Chikurachki,Stratovolcano(es),Eruption Observed,2016 CE,1781,50.324,155.461
290380,Ebeko,Stratovolcano,Eruption Observed,2021 CE,1103,50.686,156.014
290390,Alaid,Stratovolcano,Eruption Observed,2018 CE,2285,50.861,155.565
300010,Kambalny,Stratovolcano,Eruption Dated,2017 CE,2116,51.306,156.875
300020,Koshelev,Stratovolcano,Eruption Observed,1690 CE,1822,51.356,156.753
300022,Diky Greben,Lava dome(s),Eruption Dated,350 CE,1040,51.452,156.978
300030,Iliinsky,Stratovolcano,Eruption Observed,1901 CE,1555,51.498,157.203
300040,Zheltovsky,Stratovolcano,Eruption Observed,1923 CE,1926,51.577,157.328
300050,Ksudach,Stratovolcano,Eruption Observed,1907 CE,1079,51.844,157.572
300060,Mutnovsky,Complex,Eruption Observed,2000 CE,2288,52.449,158.196
300070,Gorely,Caldera,Eruption Observed,2010 CE,1799,52.559,158.03
300080,Opala,Caldera,Eruption Observed,1776 CE,2439,52.543,157.339
300082,Tolmachev Dol,Pyroclastic cone(s),Eruption Dated,300 CE,1021,52.63,157.58
300090,Koryaksky,Stratovolcano,Eruption Observed,2009 CE,3430,53.321,158.712
300100,Avachinsky,Stratovolcano,Eruption Observed,2001 CE,2717,53.256,158.836
300120,Zhupanovsky,Compound,Eruption Observed,2016 CE,2899,53.589,159.15
300121,Veer,Pyroclastic cone(s),Eruption Dated,390 CE,520,53.75,158.45
300122,Kostakan,Pyroclastic cone(s),Eruption Dated,1350 CE,1150,53.83,158.05
300125,Akademia Nauk,Stratovolcano(es),Eruption Observed,1996 CE,1180,53.98,159.45
300130,Karymsky,Stratovolcano,Eruption Observed,2021 CE,1513,54.049,159.443
300140,Maly Semyachik,Caldera,Eruption Observed,1952 CE,1527,54.135,159.674
300170,Uzon,Caldera(s),Eruption Dated,200 CE,1617,54.5,159.97
300180,Kikhpinych,Stratovolcano(es),Eruption Dated,1550 CE,1515,54.489,160.251
300190,Krasheninnikov,Caldera,Eruption Dated,1550 CE,1816,54.596,160.27
300200,Kronotsky,Stratovolcano,Eruption Observed,1923 CE,3482,54.753,160.533
300220,Komarov,Stratovolcano,Eruption Dated,950 CE,2065,55.033,160.725
300230,Kizimen,Stratovolcano,Eruption Observed,2013 CE,2334,55.131,160.32
300240,Tolbachik,Shield,Eruption Observed,2013 CE,3611,55.832,160.326
300250,Bezymianny,Stratovolcano,Eruption Observed,2021 CE,2882,55.972,160.595
300260,Klyuchevskoy,Stratovolcano,Eruption Observed,2021 CE,4754,56.056,160.642
300261,Ushkovsky,Compound,Eruption Observed,1890 CE,3943,56.113,160.509
300270,Sheveluch,Stratovolcano,Eruption Observed,2021 CE,3283,56.653,161.36
300272,Khangar,Stratovolcano,Eruption Dated,1500 CE,1967,54.761,157.407
300280,Ichinsky,Stratovolcano,Eruption Observed,1740 CE,3596,55.678,157.718
300450,Alney-Chashakondzha,Stratovolcano,Eruption Dated,1600 CE,2570,56.656,159.647
300550,Gorny Institute,Stratovolcano,Eruption Dated,1250 CE,2125,57.33,160.2
300551,Kinenin,Maar,Eruption Dated,850 CE,583,57.35,160.97
304030,Kunlun Volcanic Group,Pyroclastic cone(s),Eruption Observed,1951 CE,5808,35.52,80.2
305011,Arxan-Chaihe,Pyroclastic cone(s),Eruption Dated,0 CE,1677,47.45,120.8
305030,Wudalianchi,Volcanic field,Eruption Observed,1776 CE,597,48.722,126.15
305050,Longgang Group,Pyroclastic cone(s),Eruption Dated,350 CE,1000,42.33,126.5
