country,hasc,region_indicator,raw_population_exposure_index,raw_economic_exposure,relative_population_exposure_index,relative_economic_exposure,poverty,economic_dependency,maternal_mortality,infant_mortality,malnutrition,population_change,urban_pop_change,school_enrollment,years_of_schooling,fem_to_male_labor,proportion_of_female_seats_in_government,life_expectancy,protected_area,physicians_per_10000_persons,nurse_midwife_per_10k,distance_to_hospital,hbeds_per_10000_persons,distance_to_port,road_density,households_with_fixed_phone,households_with_cell_phone,voter_participation
DO,DO.MC,Monte Cristi,0.41,,0.75,,0.58,0.32,0.81,0.93,0.43,0.46,0.33,0.87,0.66,0.88,0.40,,0.25,0.44,0.40,0.21,0.44,0.54,0.46,0.26,0.48,
DO,DO.MP,Monte Plata,0.50,,0.64,,0.76,0.55,0.34,0.54,0.13,0.24,0.48,0.36,0.67,0.68,0.37,,0.19,0.37,0.20,0.25,0.36,0.60,0.40,0.05,0.42,
DO,DO.PN,Pedernales,0.00,,0.22,,0.90,0.61,,0.01,0.86,0.59,0.71,1.00,0.94,0.34,0.68,,1.00,0.26,0.20,0.00,0.13,0.77,0.00,0.01,0.00,
DO,DO.PV,Peravia,0.46,,0.46,,0.37,0.36,0.11,0.66,0.29,0.46,0.69,0.75,0.67,0.74,0.69,,0.30,0.30,0.25,0.58,0.31,0.82,0.47,0.61,0.66,
DO,DO.PP,Puerto Plata,0.66,,0.97,,0.17,0.12,0.09,0.53,0.06,0.31,0.48,0.38,0.48,0.56,0.64,,0.14,0.10,0.18,0.41,0.22,0.73,0.42,0.45,0.72,
DO,DO.SM,Samaná,0.37,,0.71,,0.37,0.23,0.19,0.24,0.36,0.57,0.81,0.45,0.55,0.55,0.28,,0.44,0.40,0.40,0.25,0.30,0.91,0.39,0.10,0.61,
DO,DO.CR,San Cristóbal,0.68,,0.28,,0.17,0.31,0.17,0.61,0.27,0.61,0.30,0.29,0.49,0.36,0.54,,0.32,0.26,0.23,0.43,0.15,0.71,0.53,0.45,0.77,
DO,DO.JO,San José de Ocoa,0.19,,0.15,,0.58,0.20,0.21,0.63,0.49,0.53,0.40,0.33,0.73,0.83,0.49,,0.48,0.68,0.51,0.37,0.55,0.51,0.34,0.17,0.49,
DO,DO.JU,San Juan,0.50,,0.24,,0.63,0.63,0.45,0.51,0.72,0.37,0.52,0.15,0.74,0.90,0.64,,0.37,0.35,0.64,0.10,0.53,0.15,0.23,0.21,0.41,
DO,DO.PM,San Pedro de Macorís,0.63,,0.76,,0.36,0.21,0.15,0.65,0.13,0.37,0.00,0.06,0.42,0.37,0.62,,0.09,0.85,0.21,0.48,0.28,0.79,0.61,0.49,0.74,
DO,DO.SZ,Sánchez Ramírez,0.47,,0.70,,0.32,0.23,0.30,0.56,0.03,0.00,0.53,0.63,0.50,0.80,0.76,,0.18,0.57,0.56,0.50,0.29,0.39,0.42,0.33,0.71,
DO,DO.ST,Santiago,0.89,,0.97,,0.09,0.01,0.23,1.00,0.10,0.51,0.50,0.41,0.40,0.47,0.55,,0.63,0.50,0.28,0.28,0.25,0.60,0.90,0.87,0.89,
DO,DO.SR,Santiago Rodríguez,0.24,,0.47,,0.38,0.31,0.25,0.51,0.04,0.11,0.25,0.56,0.60,0.93,0.55,,0.77,0.51,0.69,0.30,0.78,0.24,0.37,0.35,0.62,
DO,DO.SD,Santo Domingo,1.00,,0.66,,0.15,0.15,0.15,0.76,0.14,0.87,0.94,0.73,0.27,0.23,0.68,,0.05,0.11,0.07,0.64,0.11,0.91,1.00,1.00,0.95,
DO,DO.VA,Valverde,0.50,,0.86,,0.50,0.19,0.41,0.68,0.32,0.51,0.38,0.73,0.60,0.81,0.45,,0.28,0.31,0.22,0.51,0.21,0.40,0.65,0.41,0.73,
GT,GT.GU,Guatemala,1.00,,0.83,,0.00,0.00,0.08,0.37,0.63,0.31,0.17,0.00,0.00,,0.68,,0.16,1.00,1.00,0.86,0.71,0.12,,,,
GT,GT.PR,El Progreso,0.04,,0.47,,0.40,0.40,0.51,0.51,1.00,0.07,0.08,0.14,0.46,,1.00,,0.63,0.37,0.22,0.79,0.48,0.81,,,,
GT,GT.SA,Sacatepéquez,0.36,,1.00,,0.16,0.27,0.26,0.49,0.56,0.44,0.16,0.25,0.26,,1.00,,0.61,0.78,0.66,1.00,0.45,0.26,,,,
GT,GT.CM,Chimaltenango,0.52,,0.93,,0.66,0.72,0.39,0.70,0.25,0.75,0.29,0.63,0.55,,0.59,,0.48,0.20,0.14,0.87,0.04,0.42,,,,
GT,GT.ES,Escuintla,0.54,,0.80,,0.39,0.22,1.00,0.42,0.69,0.50,0.33,0.18,0.55,,0.65,,0.10,0.73,0.76,0.57,0.14,0.49,,,,
GT,GT.SR,Santa Rosa,0.30,,0.55,,0.42,0.52,0.18,0.23,0.38,0.13,0.00,0.17,0.63,,0.33,,0.19,0.71,0.62,0.56,0.54,0.40,,,,
GT,GT.SO,Sololá,0.42,,0.99,,0.96,0.78,0.06,0.33,0.00,0.88,0.12,0.80,0.80,,1.00,,1.00,0.38,0.21,0.86,0.00,0.03,,,,
GT,GT.TO,Totonicapán,0.43,,0.93,,0.89,0.92,0.66,0.63,0.31,0.85,0.41,0.93,0.84,,1.00,,0.52,0.28,0.14,0.84,0.43,0.10,,,,
GT,GT.QZ,Quetzaltenango,0.59,,0.80,,0.46,0.48,0.39,0.49,0.63,0.43,0.16,0.38,0.40,,1.00,,0.45,0.80,0.73,0.85,0.46,0.01,,,,
GT,GT.SU,Suchitepéquez,0.44,,0.72,,0.61,0.54,0.39,0.47,0.69,0.48,0.03,0.31,0.72,,0.59,,0.32,0.48,0.68,0.72,0.41,0.31,,,,
GT,GT.RE,Retalhuleu,0.34,,0.94,,0.46,0.44,0.23,0.00,0.69,0.42,0.00,0.21,0.54,,0.32,,0.02,0.29,0.45,0.67,1.00,0.11,,,,
GT,GT.SM,San Marcos,0.60,,0.60,,0.54,0.52,0.68,0.49,0.44,0.49,0.29,0.17,0.72,,0.77,,0.23,0.30,0.22,0.69,0.59,0.18,,,,
GT,GT.HU,Huehuetenango,0.54,,0.40,,0.81,0.62,0.95,0.95,0.25,0.67,0.08,0.35,0.95,,0.20,,0.02,0.01,0.11,0.34,0.28,0.52,,,,
GT,GT.QC,Quiché,0.56,,0.68,,0.83,1.00,0.48,0.40,0.13,1.00,0.13,0.65,0.89,,1.00,,0.35,0.19,0.18,0.49,0.11,0.00,,,,
GT,GT.BV,Baja Verapaz,0.22,,0.61,,0.66,0.69,0.59,0.33,0.38,0.43,0.23,0.41,0.73,,0.00,,0.56,0.15,0.19,0.73,0.25,0.56,,,,
GT,GT.AV,Alta Verapaz,0.45,,0.26,,1.00,0.71,0.81,0.49,0.44,0.92,0.91,0.46,1.00,,0.77,,0.36,0.00,0.01,0.51,0.59,0.21,,,,
GT,GT.PE,Petén,0.04,,0.00,,0.55,0.78,0.36,0.26,0.44,1.00,1.00,1.00,0.65,,1.00,,0.97,0.19,0.12,0.00,0.18,0.46,,,,
GT,GT.IZ,Izabal,0.30,,0.52,,0.53,0.50,0.98,0.35,0.75,0.57,0.31,0.49,0.50,,0.31,,0.75,0.25,0.35,0.11,0.16,0.13,,,,
GT,GT.ZA,Zacapa,0.00,,0.18,,0.45,0.39,0.06,0.28,0.31,0.00,0.19,0.08,0.59,,1.00,,0.72,0.68,0.58,0.78,0.51,0.15,,,,
GT,GT.CQ,Chiquimula,0.18,,0.26,,0.75,0.66,0.50,1.00,0.25,0.34,0.22,0.26,0.98,,1.00,,0.46,0.33,0.21,0.60,0.50,0.05,,,,
GT,GT.JA,Jalapa,0.23,,0.55,,0.68,0.83,0.17,0.60,0.38,0.59,0.47,0.50,0.87,,1.00,,0.00,0.21,0.04,0.75,0.36,0.75,,,,
GT,GT.JU,Jutiapa,0.37,,0.55,,0.59,0.79,0.00,0.72,0.56,0.06,0.20,0.40,0.70,,0.51,,0.16,0.16,0.00,0.56,0.62,1.00,,,,
HN,HN.AT,ATLANTIDA,0.56,,0.51,,0.16,0.46,0.62,0.74,0.00,0.53,0.22,0.25,0.48,0.48,,0.70,0.79,0.50,0.40,0.87,0.40,0.80,0.33,0.79,0.79,0.30
HN,HN.CL,COLON,0.40,,0.26,,0.29,0.77,0.94,0.34,0.29,0.49,0.54,0.53,0.66,0.66,,0.55,0.78,0.24,0.36,0.30,0.33,0.58,0.14,0.50,0.68,0.44
HN,HN.CM,COMAYAGUA,0.62,,0.70,,0.33,0.69,0.69,0.50,0.35,1.00,0.51,0.58,0.66,0.66,,0.27,0.38,0.26,0.25,0.70,0.18,0.73,0.34,0.82,0.64,0.51
HN,HN.CP,COPAN,0.51,,0.43,,0.38,0.69,0.73,1.00,0.26,0.59,0.52,1.00,0.86,0.71,,1.00,0.00,0.53,0.47,0.71,1.00,0.84,0.50,0.41,0.47,0.78
HN,HN.CR,CORTES,1.00,,1.00,,0.06,0.15,0.89,0.10,0.24,0.64,0.26,0.29,0.34,0.19,,0.42,0.51,0.31,0.06,0.92,0.37,0.81,0.61,0.98,0.87,0.23
HN,HN.CH,CHOLUTECA,0.50,,0.13,,0.44,0.46,0.14,0.54,0.59,0.00,0.21,0.32,0.62,0.71,,0.57,0.22,0.36,0.36,0.78,0.31,0.79,0.52,0.47,0.41,0.82
HN,HN.EP,EL PARAISO,0.54,,0.34,,0.43,0.46,0.41,0.76,0.29,0.54,0.36,0.72,0.69,0.79,,0.80,0.06,0.00,0.05,0.53,0.14,0.00,0.45,0.39,0.43,0.80
HN,HN.FM,FRANCISCO MORAZAN,0.93,,0.57,,0.14,0.00,0.72,0.31,0.35,0.57,0.00,0.09,0.00,0.10,,0.13,0.08,0.88,0.87,0.62,0.84,0.55,0.40,1.00,0.89,0.63
HN,HN.GD,GRACIAS A DIOS,0.11,,0.54,,1.00,0.85,0.62,0.22,0.18,0.82,1.00,0.99,0.69,0.00,,0.77,1.00,1.00,0.84,0.00,0.23,0.76,0.00,0.00,0.00,0.00
HN,HN.IN,INTIBUCA,0.31,,0.17,,0.44,0.88,1.00,0.63,0.12,0.62,0.48,0.36,0.83,0.75,,0.72,0.29,0.23,0.25,0.84,0.16,0.47,0.55,0.23,0.32,0.86
HN,HN.IB,ISLAS DE LA BAHIA,0.00,,0.89,,0.00,0.27,0.42,0.00,1.00,1.00,0.73,0.00,0.31,0.10,,0.00,0.51,0.88,1.00,0.71,0.53,1.00,1.00,1.00,1.00,0.28
HN,HN.LP,LA PAZ,0.30,,0.28,,0.47,0.73,0.59,0.99,0.03,0.54,0.42,0.28,0.69,0.73,,0.75,0.56,0.30,0.37,0.68,0.15,0.45,0.42,0.40,0.41,0.85
HN,HN.LE,LEMPIRA,0.42,,0.23,,0.68,1.00,0.09,0.56,0.62,0.59,0.72,0.69,1.00,1.00,,0.97,0.26,0.15,0.19,0.80,0.30,0.66,0.33,0.02,0.22,0.97
HN,HN.OC,OCOTEPEQUE,0.10,,0.00,,0.28,0.50,0.00,0.53,0.71,0.85,0.76,0.72,0.79,0.81,,0.57,0.48,0.53,0.72,1.00,0.42,0.90,0.57,0.37,0.64,0.92
HN,HN.OL,OLANCHO,0.60,,0.44,,0.47,0.77,0.62,0.44,0.12,0.44,0.45,0.84,0.69,0.79,,0.38,0.66,0.15,0.18,0.30,0.18,0.33,0.14,0.53,0.52,0.69
HN,HN.SB,SANTA BARBARA,0.60,,0.64,,0.30,0.62,0.38,0.52,0.26,0.40,0.35,0.62,0.76,0.83,,0.32,0.07,0.00,0.00,0.68,0.00,0.41,0.57,0.23,0.41,0.97
HN,HN.VA,VALLE,0.36,,0.58,,0.55,0.58,0.29,0.07,0.38,0.11,0.17,0.37,0.59,0.70,,0.35,0.35,0.54,0.65,0.82,0.38,0.80,0.83,0.48,0.50,1.00
HN,HN.YO,YORO,0.70,,0.70,,0.30,0.65,0.29,0.34,0.47,0.38,0.21,0.47,0.62,0.65,,0.52,0.29,0.28,0.17,0.90,0.35,0.58,0.21,0.59,0.58,0.40
JM,JM.CL,CLARENDON,0.64,,0.82,,0.43,0.98,,0.67,,,1.00,,,0.89,0.45,,0.67,,,0.45,0.14,,0.60,0.26,0.63,0.63
JM,JM.HA,HANOVER,0.00,,0.29,,0.06,0.87,,0.46,,,0.89,,,0.49,0.57,,0.51,,,0.31,0.00,,0.41,0.09,0.42,0.32
JM,JM.KI,KINGSTON,0.39,,0.75,,0.83,0.52,,0.89,,,0.00,,,0.03,0.03,,0.60,,,1.00,1.00,,1.00,0.40,0.77,0.22
JM,JM.MA,MANCHESTER,0.50,,0.56,,0.57,0.68,,0.72,,,0.52,,,0.73,0.20,,0.05,,,0.37,0.45,,0.47,0.47,0.79,0.67
JM,JM.PO,PORTLAND,0.21,,0.86,,0.52,0.63,,0.00,,,0.41,,,0.82,0.00,,1.00,,,0.24,0.26,,0.02,0.47,0.32,0.60
JM,JM.SD,SAINT ANDREW,0.90,,0.51,,0.36,0.00,,0.74,,,0.37,,,0.00,0.08,,0.31,,,0.60,1.00,,1.00,1.00,0.78,0.42
JM,JM.SN,SAINT ANN,0.48,,0.62,,0.39,0.78,,0.78,,,0.70,,,0.61,0.64,,0.16,,,0.03,0.41,,0.20,0.35,1.00,0.51
JM,JM.SC,SAINT CATHERINE,1.00,,0.98,,0.63,0.39,,0.54,,,0.72,,,0.22,0.45,,0.37,,,0.43,0.13,,0.46,0.87,0.74,0.29
JM,JM.SE,SAINT ELIZABETH,0.26,,0.00,,0.62,0.92,,0.27,,,0.53,,,1.00,0.80,,0.34,,,0.00,0.02,,0.37,0.12,0.56,0.88
JM,JM.SJ,SAINT JAMES,0.41,,0.30,,0.08,0.52,,1.00,,,0.80,,,0.20,0.66,,0.12,,,0.36,0.61,,0.56,0.62,0.88,0.23
JM,JM.SM,SAINT MARY,0.30,,0.89,,0.00,0.90,,0.31,,,0.97,,,0.75,0.54,,0.00,,,0.47,0.41,,0.44,0.29,0.23,1.00
JM,JM.ST,SAINT THOMAS,0.31,,1.00,,1.00,0.80,,0.16,,,0.43,,,0.82,0.41,,0.56,,,0.21,0.34,,0.00,0.37,0.00,0.64
JM,JM.TR,TRELAWNY,0.14,,0.68,,0.16,0.95,,0.40,,,0.29,,,0.70,0.33,,0.71,,,0.06,0.30,,0.16,0.21,0.40,0.83
JM,JM.WE,WESTMORELAND,0.31,,0.19,,0.41,1.00,,0.22,,,0.68,,,0.67,1.00,,0.31,,,0.14,0.25,,0.37,0.00,0.71,0.00
NI,NI.NS,NUEVA SEGOVIA,0.00,,0.00,,0.57,0.57,0.38,0.23,0.37,0.47,0.61,0.50,0.73,0.48,0.46,0.56,0.37,0.26,0.46,0.83,0.23,0.00,0.51,0.17,0.46,0.35
NI,NI.JI,JINOTEGA,0.28,,0.10,,0.80,0.95,0.95,0.73,0.22,0.96,0.98,1.00,1.00,1.00,0.58,0.89,1.00,0.21,0.08,0.27,0.22,0.47,0.20,0.00,0.00,0.38
NI,NI.MD,MADRIZ,0.12,,0.21,,0.59,0.43,0.72,0.27,0.12,0.58,0.52,0.52,0.64,0.66,0.00,0.57,0.21,0.49,0.50,0.92,0.38,0.20,0.64,0.20,0.34,0.39
NI,NI.ES,ESTELI,0.30,,0.35,,0.30,0.11,0.39,0.12,0.27,0.00,0.00,0.00,0.27,0.08,0.40,0.24,0.68,1.00,0.84,0.96,1.00,0.48,0.52,0.58,0.81,0.63
NI,NI.CI,CHINANDEGA,0.66,,0.80,,0.45,0.26,0.28,0.13,0.35,0.10,0.14,0.14,0.45,0.17,0.45,0.50,0.59,0.40,0.51,0.63,0.36,0.83,0.24,0.25,0.61,0.65
NI,NI.LE,LEON,0.64,,0.78,,0.27,0.07,0.44,0.00,0.86,0.19,0.20,0.21,0.18,0.00,0.08,0.04,0.21,0.79,0.60,0.67,0.66,0.88,0.35,0.50,0.83,0.68
NI,NI.MT,MATAGALPA,0.46,,0.22,,0.59,0.50,0.44,0.61,0.20,0.66,0.60,0.38,0.70,0.54,0.30,0.87,0.19,0.01,0.00,0.68,0.00,0.49,0.38,0.31,0.54,0.51
NI,NI.BO,BOACO,0.17,,0.23,,0.63,0.41,0.62,0.16,0.29,0.33,0.33,0.15,0.73,0.65,0.47,0.27,0.07,0.31,0.32,0.58,0.39,0.64,0.24,0.28,0.65,0.38
NI,NI.MN,MANAGUA,1.00,,0.83,,0.00,0.00,0.32,0.56,0.49,0.29,0.13,0.25,0.00,-0.23,0.75,0.00,0.00,0.99,0.44,0.74,0.65,1.00,0.38,1.00,0.98,0.70
NI,NI.MS,MASAYA,0.61,,0.83,,0.22,0.15,0.33,0.16,0.00,0.38,0.43,0.07,0.21,-0.26,0.05,0.19,0.51,0.00,0.06,1.00,0.02,0.99,1.00,0.46,0.85,0.46
NI,NI.CO,CHONTALES,0.15,,0.20,,0.46,0.17,0.00,0.65,0.06,0.43,0.27,0.29,0.55,0.53,0.67,0.35,0.04,0.60,0.73,0.34,0.56,0.79,0.16,0.46,0.90,1.00
NI,NI.GR,GRANADA,0.51,,1.00,,0.29,0.24,0.44,0.05,1.00,0.51,0.42,0.29,0.12,0.03,0.00,0.08,0.79,0.65,0.44,0.89,0.25,0.97,0.45,0.59,1.00,0.64
NI,NI.CA,CARAZO,0.44,,0.82,,0.17,0.06,0.44,0.49,0.63,0.17,0.11,0.13,0.09,0.03,0.42,0.32,0.07,0.75,0.93,0.86,0.98,0.91,0.75,0.38,0.82,0.58
NI,NI.RI,RIVAS,0.40,,0.76,,0.27,0.08,0.46,0.18,0.10,0.11,0.04,0.12,0.30,0.29,0.33,0.30,0.13,0.63,1.00,0.80,0.78,1.00,0.40,0.16,0.81,0.63
NI,NI.SJ,RIO SAN JUAN,0.19,,0.44,,0.79,0.48,0.52,1.00,0.71,1.00,0.95,0.41,0.85,0.83,0.10,0.59,0.72,0.57,0.93,0.04,0.01,0.73,0.04,0.03,0.74,0.51
NI,NI.AN,RAAN (BILWI),0.37,,0.17,,1.00,1.00,0.86,0.52,0.37,1.00,1.00,0.74,0.91,0.73,1.00,1.00,0.66,0.11,0.34,0.34,0.13,0.76,0.01,0.00,0.14,0.07
NI,NI.AS,RAAS (BLUEFIELDS),0.35,,0.20,,0.94,0.65,1.00,0.42,0.37,0.66,1.00,0.54,0.88,0.87,0.88,1.00,0.51,0.43,0.44,0.00,0.10,0.62,0.00,0.11,0.70,0.00
PE,PE.AM,Amazonas,0.17,,0.68,,0.89,0.45,0.65,0.63,0.61,0.08,,0.02,0.94,0.66,0.66,0.90,0.30,0.06,0.40,,0.56,,0.17,0.00,0.46,0.28
PE,PE.AN,Ancash,0.57,,0.67,,0.40,0.43,0.34,0.42,0.48,0.19,,0.52,0.57,0.53,0.60,0.49,0.30,0.31,0.35,,0.46,,0.66,0.52,0.81,0.70
PE,PE.AP,Apurimac,0.12,,0.28,,0.79,0.63,0.00,0.53,0.66,0.16,,0.38,0.76,0.16,0.85,0.94,0.01,0.30,0.64,,0.62,,0.67,0.14,0.46,0.21
PE,PE.AR,Arequipa,0.70,,0.78,,0.11,0.12,0.09,0.19,0.15,0.63,,0.37,0.13,0.55,0.22,0.18,0.41,1.00,1.00,,0.68,,0.31,0.69,0.99,1.00
PE,PE.AY,Ayacucho,0.18,,0.15,,0.98,0.65,0.26,0.60,0.64,0.68,,0.60,0.77,0.23,0.80,0.87,0.01,0.05,0.35,,0.66,,0.38,0.18,0.42,0.19
PE,PE.CJ,Cajamarca,0.80,,0.70,,1.00,0.46,0.50,0.42,0.83,0.03,,0.58,0.99,0.61,0.86,0.60,0.11,0.00,0.11,,0.15,,0.72,0.10,0.52,0.41
PE,PE.CL,Callao 1,0.56,,0.83,,,0.04,0.37,0.00,,0.90,,0.55,0.09,,0.56,0.00,0.00,0.58,0.49,,0.92,,1.00,0.98,0.97,0.70
PE,PE.CS,Cusco,0.66,,0.66,,0.31,0.36,0.35,0.97,0.43,0.24,,0.32,0.55,0.17,0.85,0.93,0.29,0.41,0.44,,0.42,,0.41,0.34,0.59,0.51
PE,PE.HV,Huancavelica,0.19,,0.61,,0.87,1.00,0.36,0.96,1.00,0.39,,0.95,1.00,0.01,0.99,1.00,0.00,0.04,0.22,,0.00,,0.77,0.00,0.39,0.00
PE,PE.HC,Huanuco,0.23,,0.13,,0.74,0.57,0.27,0.63,0.66,0.38,,0.68,0.84,0.55,0.93,0.78,0.13,0.15,0.44,,0.21,,0.33,0.25,0.68,0.17
PE,PE.IC,Ica,0.45,,0.92,,0.02,0.24,0.06,0.04,0.12,0.58,,0.33,0.09,0.65,0.34,0.09,0.34,0.68,0.69,,0.83,,0.39,0.65,0.90,0.73
PE,PE.JU,Junin,0.77,,0.82,,0.32,0.51,0.30,0.42,0.54,0.71,,0.76,0.44,0.44,0.40,0.74,0.40,0.35,0.42,,0.42,,0.43,0.44,0.74,0.34
PE,PE.LL,La Libertad,1.00,,0.71,,0.52,0.31,0.34,0.25,0.49,0.77,,0.68,0.49,0.73,0.73,0.26,0.09,0.64,0.38,,0.44,,0.73,0.74,0.74,0.54
PE,PE.LB,Lambayeque,0.60,,0.59,,0.43,0.28,0.18,0.38,0.29,0.43,,0.72,0.47,0.64,0.66,0.20,0.03,0.49,0.51,,0.52,,0.57,0.68,0.87,0.57
PE,PE.LR,Lima,1.00,,0.40,,0.19,0.10,0.00,0.06,0.06,1.00,,0.59,0.00,0.70,0.42,0.07,0.18,0.96,0.62,,0.83,,0.57,1.00,0.96,0.86
PE,PE.LO,Loreto,0.24,,0.00,,0.68,0.58,0.47,0.72,0.63,0.65,,0.23,0.68,0.76,0.43,0.75,0.55,0.18,0.04,,0.19,,0.00,0.55,0.00,0.17
PE,PE.MD,Madre de Dios,0.00,,0.54,,0.00,0.11,1.00,0.61,0.22,1.00,,0.00,0.43,0.58,0.25,0.69,1.00,0.37,0.22,,0.72,,0.08,0.35,0.84,0.52
PE,PE.MQ,Moquegua,0.04,,0.80,,0.10,0.00,0.56,0.19,0.03,0.60,,0.20,0.22,0.60,0.34,0.24,0.02,0.41,0.64,,0.99,,0.43,0.45,0.72,0.75
PE,PE.PA,Pasco,0.10,,0.69,,0.87,0.45,0.33,0.56,0.60,0.34,,0.94,0.48,0.64,0.67,0.79,0.82,0.11,0.41,,1.00,,0.31,0.06,0.68,0.21
PE,PE.PI,Piura,0.87,,0.54,,0.64,0.42,0.27,0.46,0.56,0.40,,0.59,0.61,0.98,0.88,0.47,0.11,0.19,0.05,,0.21,,0.44,0.46,0.67,0.50
PE,PE.PU,Puno,0.65,,0.54,,0.58,0.57,0.63,1.00,0.41,0.47,,1.00,0.59,0.00,1.00,0.91,0.37,0.16,0.31,,0.13,,0.38,0.10,0.51,0.18
PE,PE.SM,San Martin,0.51,,1.00,,0.53,0.27,0.35,0.48,0.32,0.00,,0.42,0.80,1.00,0.41,0.80,0.57,0.03,0.00,,0.34,,0.25,0.27,0.63,0.44
PE,PE.TA,Tacna,0.12,,0.68,,0.16,0.05,0.47,0.19,0.00,0.82,,0.58,0.15,0.35,0.16,0.44,0.00,0.77,0.57,,0.67,,0.37,0.47,1.00,0.76
PE,PE.TU,Tumbes,0.09,,0.94,,0.18,0.00,0.52,0.17,0.16,0.90,,0.05,0.49,0.79,0.00,0.46,1.00,0.18,0.32,,0.54,,0.51,0.37,0.95,0.40
PE,PE.UC,Ucayali,0.17,,0.46,,0.20,0.36,0.28,0.68,0.55,0.03,,0.14,0.56,0.63,0.59,0.86,0.70,0.14,0.21,,0.46,,0.03,0.35,0.57,0.42
PY,PY.AG,Alto Paraguay,0.00,0.00,0.00,0.00,0.99,0.77,1.00,1.00,0.61,0.84,,,1.00,,,1.00,1.00,0.68,0.54,0.00,0.98,0.00,0.00,0.16,0.38,1.00
PY,PY.AA,Alto Paraná,0.83,0.84,1.00,1.00,0.28,0.32,0.14,0.59,0.29,0.66,,,0.40,,,0.11,0.16,0.00,0.03,0.69,0.16,0.59,0.54,0.49,1.00,0.52
PY,PY.AM,Amambay,0.36,0.44,0.95,0.96,0.10,0.30,0.50,0.46,0.74,0.71,,,0.48,,,0.31,0.35,0.23,0.09,0.31,0.37,0.65,0.35,0.72,0.97,1.00
PY,PY.AS,Asunción,0.59,0.68,0.42,0.36,0.00,0.40,0.04,0.02,0.96,0.00,,,0.00,,,0.16,0.35,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.98,0.91
PY,PY.BQ,Boquerón,0.17,0.23,0.68,0.72,0.28,0.57,0.40,0.97,0.50,0.99,,,0.79,,,0.73,0.61,0.20,0.10,0.18,0.27,0.36,0.09,0.58,0.00,0.05
PY,PY.CG,Caaguazú,0.67,0.65,0.98,0.93,0.91,0.83,0.23,0.11,0.46,0.41,,,0.69,,,0.25,0.05,0.07,0.11,0.76,0.22,0.52,0.48,0.30,0.77,0.22
PY,PY.CZ,Caazapá,0.36,0.37,0.99,0.99,1.00,0.82,0.07,0.27,0.41,0.57,,,0.95,,,0.00,0.32,0.28,0.12,0.71,0.64,0.28,0.43,0.10,0.74,0.00
PY,PY.CY,Canindeyú,0.41,0.42,0.98,0.97,0.75,0.65,0.34,0.33,0.00,0.97,,,0.77,,,0.49,0.74,0.16,0.09,0.62,0.34,0.24,0.40,0.00,0.86,0.22
PY,PY.CE,Central,1.00,1.00,0.42,0.38,0.13,0.04,0.07,0.10,0.53,1.00,,,0.23,,,0.04,0.72,0.46,0.21,0.88,0.45,0.79,0.79,1.00,0.89,0.44
